year,mileage,engineSize,transmission,model,fuelType,price
2013,69000,2.1,Automatic, C Class,Diesel,11350
2014,41000,1.6,Automatic, C Class,Petrol,12900
2018,16250,1.5,Automatic, C Class,Petrol,26000
2017,30676,2.1,Automatic, C Class,Diesel,22767
2015,40005,2.1,Automatic, C Class,Diesel,12000
2017,38000,2,Automatic, C Class,Hybrid,18999
2016,45000,2.1,Automatic, C Class,Diesel,14000
2015,40005,2.1,Automatic, C Class,Diesel,12000
2009,120000,2.1,Automatic, C Class,Diesel,4343
2016,51936,2.1,Automatic, C Class,Diesel,16500
2019,4000,2,Automatic, C Class,Diesel,27750
2019,8500,2,Automatic, C Class,Diesel,28950
2007,119168,1.8,Automatic, C Class,Petrol,3495
2017,21800,4,Automatic, C Class,Petrol,59740
2019,19999,4,Automatic, C Class,Petrol,44990
2019,1600,4,Automatic, C Class,Petrol,54990
2015,46221,2.1,Automatic, C Class,Diesel,15995
2016,45000,2.1,Automatic, C Class,Diesel,14000
2015,40005,2.1,Automatic, C Class,Diesel,12000
2017,30676,2.1,Automatic, C Class,Diesel,22767
2014,52712,2.1,Semi-Auto, C Class,Diesel,12998
2017,59858,2.1,Semi-Auto, C Class,Diesel,17998
2019,22,1.6,Manual, C Class,Petrol,28998
2017,28234,2,Semi-Auto, C Class,Petrol,24998
2016,22803,2.1,Semi-Auto, C Class,Diesel,19498
2018,17093,2.1,Semi-Auto, C Class,Diesel,23498
2019,8150,1.6,Semi-Auto, C Class,Diesel,25498
2019,9344,2,Semi-Auto, C Class,Diesel,24998
2016,31891,2,Semi-Auto, C Class,Hybrid,18498
2014,36243,2.1,Semi-Auto, C Class,Diesel,15498
2017,33000,2.1,Semi-Auto, C Class,Diesel,20995
2018,11300,3,Semi-Auto, C Class,Petrol,31995
2017,32800,2.1,Semi-Auto, C Class,Diesel,23995
2014,37600,2.1,Automatic, C Class,Diesel,16995
2017,14000,2,Automatic, C Class,Petrol,24995
2014,24175,6.2,Semi-Auto, C Class,Petrol,26998
2016,27968,2.1,Semi-Auto, C Class,Diesel,20498
2018,9255,2,Semi-Auto, C Class,Diesel,27498
2016,26973,1.6,Semi-Auto, C Class,Diesel,16998
2018,12491,2.1,Semi-Auto, C Class,Diesel,27498
2019,14999,2,Semi-Auto, C Class,Diesel,27698
2016,37941,3,Semi-Auto, C Class,Petrol,27498
2019,11301,2,Semi-Auto, C Class,Diesel,32498
2019,12629,2.1,Semi-Auto, C Class,Diesel,24498
2017,20981,2.1,Semi-Auto, C Class,Diesel,21498
2017,23760,2.1,Semi-Auto, C Class,Diesel,18998
2014,26216,2.1,Semi-Auto, C Class,Diesel,15998
2013,80485,2.1,Semi-Auto, C Class,Diesel,9298
2018,18739,2.1,Semi-Auto, C Class,Diesel,22998
2016,53453,2.1,Manual, C Class,Diesel,12998
2016,23090,2.1,Semi-Auto, C Class,Diesel,22998
2016,26100,2.1,Manual, C Class,Diesel,17998
2019,4285,2,Semi-Auto, C Class,Diesel,28498
2016,28388,1.6,Semi-Auto, C Class,Diesel,18998
2017,16902,2.1,Semi-Auto, C Class,Diesel,20998
2016,31227,2.1,Semi-Auto, C Class,Diesel,21998
2015,24010,1.6,Manual, C Class,Diesel,13998
2019,15838,2,Semi-Auto, C Class,Diesel,24498
2017,17657,2.1,Semi-Auto, C Class,Hybrid,20998
2019,4977,2,Semi-Auto, C Class,Diesel,30498
2016,24756,2.1,Semi-Auto, C Class,Diesel,19498
2014,41416,2.1,Semi-Auto, C Class,Diesel,15298
2019,3814,1.5,Semi-Auto, C Class,Petrol,33998
2019,17,1.5,Semi-Auto, C Class,Petrol,32998
2016,37080,2.1,Semi-Auto, C Class,Diesel,16498
2016,73582,2.1,Semi-Auto, C Class,Diesel,15498
2014,23772,2.1,Semi-Auto, C Class,Diesel,15498
2017,28808,2.1,Semi-Auto, C Class,Diesel,18998
2019,10000,2,Semi-Auto, C Class,Diesel,24495
2016,26413,2.1,Semi-Auto, C Class,Diesel,18990
2014,98000,2.1,Manual, C Class,Diesel,10995
2014,39920,2.1,Semi-Auto, C Class,Diesel,15698
2019,10455,1.5,Semi-Auto, C Class,Petrol,22498
2016,27644,2.1,Semi-Auto, C Class,Diesel,19298
2017,63916,2,Semi-Auto, C Class,Hybrid,16498
2018,15383,1.5,Semi-Auto, C Class,Petrol,19998
2018,21929,2.1,Semi-Auto, C Class,Diesel,20685
2018,16900,2.1,Semi-Auto, C Class,Diesel,20489
2017,34015,2.1,Manual, C Class,Diesel,13800
2019,2000,2,Semi-Auto, C Class,Petrol,31998
2019,28000,2,Semi-Auto, C Class,Petrol,29998
2019,22400,1.5,Semi-Auto, C Class,Petrol,24998
2019,2878,2,Semi-Auto, C Class,Petrol,32998
2019,4500,2,Semi-Auto, C Class,Petrol,32998
2019,836,2,Semi-Auto, C Class,Petrol,29998
2017,14462,2.1,Semi-Auto, C Class,Diesel,23998
2016,23429,2,Semi-Auto, C Class,Hybrid,20998
2017,20764,2.1,Automatic, C Class,Diesel,16498
2013,31706,2.1,Semi-Auto, C Class,Diesel,11998
2015,55000,2.1,Automatic, C Class,Diesel,12495
2019,10059,1.5,Automatic, C Class,Petrol,19298
2019,10357,2,Semi-Auto, C Class,Diesel,23998
2015,50374,2.1,Semi-Auto, C Class,Diesel,12495
2015,42471,2.1,Semi-Auto, C Class,Hybrid,17498
2016,41974,2.1,Manual, C Class,Diesel,16198
2017,20618,2.1,Semi-Auto, C Class,Diesel,18498
2019,15536,1.5,Semi-Auto, C Class,Petrol,24998
2019,16103,1.5,Semi-Auto, C Class,Petrol,24998
2019,14576,1.5,Semi-Auto, C Class,Petrol,21998
2018,6198,2,Semi-Auto, C Class,Diesel,29498
2018,6265,2,Semi-Auto, C Class,Diesel,29498
2016,21786,2.1,Semi-Auto, C Class,Diesel,16998
2019,1558,1.5,Semi-Auto, C Class,Petrol,33998
2019,2258,1.5,Semi-Auto, C Class,Petrol,32998
2017,26866,2.1,Semi-Auto, C Class,Diesel,18998
2019,1887,1.5,Semi-Auto, C Class,Petrol,32498
2017,9676,2.1,Semi-Auto, C Class,Diesel,25798
2018,7894,2.1,Semi-Auto, C Class,Diesel,20498
2017,26179,2.1,Semi-Auto, C Class,Diesel,18498
2016,21945,2,Manual, C Class,Petrol,14498
2019,2195,2,Semi-Auto, C Class,Diesel,29498
2017,16291,2,Semi-Auto, C Class,Petrol,17998
2015,38438,2.1,Manual, C Class,Diesel,13498
2016,25107,2,Automatic, C Class,Hybrid,19698
2017,20491,2.1,Semi-Auto, C Class,Hybrid,22498
2015,52792,1.6,Manual, C Class,Diesel,11998
2013,30035,1.6,Semi-Auto, C Class,Petrol,11998
2020,3620,2,Semi-Auto, C Class,Hybrid,39998
2019,19204,2,Semi-Auto, C Class,Diesel,23498
2019,10,4,Semi-Auto, C Class,Petrol,57998
2015,46155,2.1,Semi-Auto, C Class,Diesel,16315
2016,49494,2.1,Semi-Auto, C Class,Diesel,13991
2016,43014,2.1,Semi-Auto, C Class,Diesel,16998
2017,29283,2.1,Semi-Auto, C Class,Diesel,16498
2016,38830,2.1,Semi-Auto, C Class,Diesel,16998
2016,49761,2.1,Manual, C Class,Diesel,13690
2014,31801,2.1,Semi-Auto, C Class,Diesel,14490
2017,22349,2,Semi-Auto, C Class,Petrol,17998
2019,8520,2,Semi-Auto, C Class,Diesel,29998
2017,27493,2.1,Semi-Auto, C Class,Hybrid,18998
2018,15075,2,Semi-Auto, C Class,Petrol,18998
2019,5116,2,Semi-Auto, C Class,Diesel,28998
2019,15009,1.5,Semi-Auto, C Class,Petrol,24998
2018,6787,2,Semi-Auto, C Class,Diesel,27998
2015,32409,2.1,Semi-Auto, C Class,Diesel,16798
2017,23690,2.1,Semi-Auto, C Class,Diesel,19998
2020,101,2,Semi-Auto, C Class,Diesel,29950
2017,22485,2.1,Semi-Auto, C Class,Hybrid,20790
2013,41921,1.6,Semi-Auto, C Class,Petrol,9490
2017,35488,2.1,Semi-Auto, C Class,Diesel,15690
2017,41647,2.1,Manual, C Class,Diesel,14990
2015,24923,2.1,Semi-Auto, C Class,Diesel,17290
2018,11810,2.1,Semi-Auto, C Class,Diesel,19490
2019,2000,2,Semi-Auto, C Class,Diesel,28990
2017,6668,2.1,Automatic, C Class,Diesel,24990
2014,19562,6.2,Semi-Auto, C Class,Petrol,28990
2016,29201,1.6,Semi-Auto, C Class,Diesel,16298
2016,19864,2.1,Manual, C Class,Diesel,14698
2016,22117,2,Manual, C Class,Petrol,13998
2015,43331,2.1,Semi-Auto, C Class,Diesel,14698
2014,51929,2.1,Semi-Auto, C Class,Diesel,10498
2015,42245,2.1,Semi-Auto, C Class,Diesel,11998
2016,42062,2,Automatic, C Class,Petrol,15698
2015,43883,2.1,Semi-Auto, C Class,Diesel,16998
2016,36587,2,Semi-Auto, C Class,Hybrid,17998
2017,42036,2.1,Semi-Auto, C Class,Diesel,20998
2016,36538,1.6,Semi-Auto, C Class,Diesel,13691
2014,56000,2.1,Manual, C Class,Diesel,13491
2017,11986,2,Semi-Auto, C Class,Petrol,21998
2015,38783,2.1,Semi-Auto, C Class,Diesel,14500
2017,38051,2.1,Semi-Auto, C Class,Diesel,15990
2016,10542,2,Semi-Auto, C Class,Petrol,20490
2018,3033,1.5,Semi-Auto, C Class,Petrol,20890
2014,59884,2.1,Semi-Auto, C Class,Diesel,14490
2018,1871,1.5,Semi-Auto, C Class,Petrol,21990
2015,32594,2.1,Semi-Auto, C Class,Diesel,14750
2019,1474,3,Automatic, C Class,Petrol,44990
2019,15210,1.5,Semi-Auto, C Class,Petrol,24690
2017,49783,2.1,Semi-Auto, C Class,Diesel,18270
2018,7175,2,Automatic, C Class,Diesel,26625
2015,35034,2,Semi-Auto, C Class,Petrol,13361
2017,35576,2.1,Semi-Auto, C Class,Diesel,17490
2019,13888,2,Automatic, C Class,Diesel,26427
2019,4703,2,Semi-Auto, C Class,Diesel,29290
2017,8143,2.1,Semi-Auto, C Class,Diesel,23047
2015,57066,1.6,Semi-Auto, C Class,Diesel,13621
2017,25296,2.1,Semi-Auto, C Class,Diesel,18200
2017,29907,2.1,Semi-Auto, C Class,Diesel,16991
2018,5659,2,Semi-Auto, C Class,Petrol,23498
2015,23063,2.1,Semi-Auto, C Class,Diesel,14698
2013,60948,2.1,Semi-Auto, C Class,Diesel,9798
2016,32769,2.1,Automatic, C Class,Diesel,17998
2017,20949,2.1,Automatic, C Class,Diesel,18998
2016,27890,2.1,Semi-Auto, C Class,Diesel,20700
2015,11954,2.1,Semi-Auto, C Class,Diesel,16990
2014,42879,2.1,Semi-Auto, C Class,Diesel,11791
2015,11470,1.6,Semi-Auto, C Class,Diesel,18191
2016,26205,2.1,Semi-Auto, C Class,Diesel,20991
2017,61305,1.6,Semi-Auto, C Class,Diesel,13321
2016,10561,2.1,Semi-Auto, C Class,Diesel,21998
2017,72939,2,Semi-Auto, C Class,Hybrid,15998
2015,31125,2.1,Manual, C Class,Diesel,13498
2017,37194,2.1,Semi-Auto, C Class,Diesel,20871
2018,2240,2,Semi-Auto, C Class,Petrol,25891
2017,21023,2.1,Semi-Auto, C Class,Diesel,20591
2016,35975,2.1,Semi-Auto, C Class,Diesel,19991
2015,55226,2.1,Semi-Auto, C Class,Diesel,15990
2019,3686,2,Automatic, C Class,Diesel,30055
2017,33943,2,Automatic, C Class,Petrol,21650
2018,9699,2,Semi-Auto, C Class,Petrol,25990
2017,25059,2.1,Semi-Auto, C Class,Diesel,17690
2019,101,2,Automatic, C Class,Diesel,30950
2019,7006,1.5,Automatic, C Class,Petrol,24950
2015,38671,2.1,Semi-Auto, C Class,Diesel,14998
2017,19877,2,Semi-Auto, C Class,Hybrid,19798
2019,7937,1.5,Semi-Auto, C Class,Petrol,24498
2018,20027,2.1,Semi-Auto, C Class,Diesel,19991
2017,19953,2.1,Semi-Auto, C Class,Diesel,21991
2018,18551,2.1,Semi-Auto, C Class,Diesel,22591
2019,14288,2.1,Semi-Auto, C Class,Diesel,18790
2019,10485,1.5,Automatic, C Class,Petrol,25950
2020,101,2,Semi-Auto, C Class,Diesel,29950
2017,27424,2.1,Semi-Auto, C Class,Diesel,14990
2020,2985,2,Automatic, C Class,Diesel,31950
2016,36051,2.1,Semi-Auto, C Class,Diesel,20990
2020,3458,1.5,Automatic, C Class,Petrol,28990
2019,6406,2,Semi-Auto, C Class,Diesel,27000
2015,65000,2.1,Semi-Auto, C Class,Diesel,12590
2018,22773,2.1,Semi-Auto, C Class,Diesel,20885
2014,37000,6.2,Semi-Auto, C Class,Petrol,25885
2016,30487,2.1,Semi-Auto, C Class,Diesel,14965
2017,29814,2.1,Automatic, C Class,Diesel,16595
2018,28050,2.1,Semi-Auto, C Class,Diesel,17940
2018,18882,2.1,Semi-Auto, C Class,Diesel,19940
2016,27034,1.6,Semi-Auto, C Class,Diesel,16498
2016,40620,1.6,Semi-Auto, C Class,Diesel,14500
2019,9057,2,Semi-Auto, C Class,Diesel,27791
2019,7060,2,Semi-Auto, C Class,Diesel,26499
2019,4615,2,Semi-Auto, C Class,Diesel,31990
2018,9250,1.5,Semi-Auto, C Class,Petrol,20999
2019,1052,2,Semi-Auto, C Class,Diesel,31999
2017,25149,2,Semi-Auto, C Class,Petrol,17495
2019,5947,1.6,Semi-Auto, C Class,Petrol,25495
2019,2749,2,Automatic, C Class,Diesel,36995
2019,7144,2,Semi-Auto, C Class,Diesel,30999
2019,4843,2,Semi-Auto, C Class,Diesel,29999
2016,44641,2.1,Automatic, C Class,Diesel,17880
2016,26682,2.1,Manual, C Class,Diesel,13660
2016,18865,2.1,Automatic, C Class,Diesel,23920
2017,21225,2.1,Semi-Auto, C Class,Diesel,22960
2017,52519,1.6,Semi-Auto, C Class,Diesel,16590
2017,42000,2.1,Semi-Auto, C Class,Diesel,17990
2019,3233,1.6,Automatic, C Class,Petrol,22270
2016,28535,2.1,Semi-Auto, C Class,Diesel,22680
2017,32629,2.1,Semi-Auto, C Class,Diesel,22440
2016,30748,2.1,Semi-Auto, C Class,Diesel,17820
2016,17600,2.1,Semi-Auto, C Class,Diesel,19290
2016,31360,2.1,Semi-Auto, C Class,Diesel,16390
2016,19598,2,Semi-Auto, C Class,Petrol,14450
2016,28192,2.1,Automatic, C Class,Diesel,17250
2016,38087,2.1,Semi-Auto, C Class,Diesel,19690
2017,23523,2.1,Semi-Auto, C Class,Diesel,19250
2019,7716,1.5,Automatic, C Class,Petrol,21980
2019,1647,1.5,Automatic, C Class,Petrol,23990
2019,5572,1.5,Semi-Auto, C Class,Petrol,21980
2019,101,2,Automatic, C Class,Diesel,27990
2015,66796,2.1,Semi-Auto, C Class,Hybrid,16998
2016,41056,2.1,Semi-Auto, C Class,Diesel,19698
2015,32140,2.1,Manual, C Class,Diesel,15498
2020,1500,4,Semi-Auto, C Class,Petrol,67999
2020,1500,1.5,Semi-Auto, C Class,Petrol,34999
2016,12249,2,Semi-Auto, C Class,Petrol,21299
2017,37564,2,Semi-Auto, C Class,Hybrid,17999
2019,14360,1.5,Semi-Auto, C Class,Petrol,19999
2017,10288,2,Semi-Auto, C Class,Petrol,21999
2016,43236,2.1,Semi-Auto, C Class,Diesel,17699
2016,33113,2.1,Semi-Auto, C Class,Diesel,14580
2017,19784,2,Semi-Auto, C Class,Petrol,23990
2019,1610,2,Automatic, C Class,Diesel,28660
2017,31326,2.1,Semi-Auto, C Class,Diesel,19490
2017,32790,2.1,Semi-Auto, C Class,Diesel,21770
2019,11728,2,Semi-Auto, C Class,Diesel,25990
2019,6282,2,Automatic, C Class,Diesel,28660
2017,41131,2.1,Semi-Auto, C Class,Diesel,22590
2017,14052,2.1,Automatic, C Class,Diesel,22770
2015,44929,2.1,Automatic, C Class,Diesel,16480
2018,10579,2,Semi-Auto, C Class,Diesel,27698
2017,30536,2,Semi-Auto, C Class,Petrol,16499
2019,10985,1.5,Semi-Auto, C Class,Petrol,19895
2019,11480,2,Semi-Auto, C Class,Diesel,27595
2019,12986,2,Semi-Auto, C Class,Diesel,25795
2019,3984,1.5,Semi-Auto, C Class,Petrol,24499
2019,8771,2,Semi-Auto, C Class,Petrol,30495
2019,1683,2,Semi-Auto, C Class,Diesel,29999
2018,16347,2,Semi-Auto, C Class,Diesel,27495
2019,6959,1.6,Manual, C Class,Petrol,21795
2013,50591,1.6,Automatic, C Class,Petrol,9881
2015,14480,2,Manual, C Class,Petrol,13498
2019,10471,2,Semi-Auto, C Class,Diesel,24450
2015,37000,2.1,Semi-Auto, C Class,Diesel,17450
2016,34000,2.1,Semi-Auto, C Class,Diesel,14450
2017,22369,2.1,Semi-Auto, C Class,Diesel,24990
2015,29286,2.1,Semi-Auto, C Class,Diesel,16440
2014,52500,2.1,Semi-Auto, C Class,Diesel,9891
2015,26273,2,Semi-Auto, C Class,Petrol,16998
2015,48123,2.1,Semi-Auto, C Class,Diesel,16710
2017,19779,2.1,Automatic, C Class,Diesel,22495
2017,39447,2,Automatic, C Class,Petrol,21565
2017,28272,2,Semi-Auto, C Class,Petrol,21697
2016,20972,2.1,Semi-Auto, C Class,Diesel,20990
2016,21745,2,Semi-Auto, C Class,Petrol,14770
2015,31878,2.1,Semi-Auto, C Class,Diesel,13448
2014,34382,2.1,Semi-Auto, C Class,Diesel,15998
2018,12170,2,Semi-Auto, C Class,Diesel,27498
2016,24111,2,Semi-Auto, C Class,Hybrid,19498
2017,22888,2.1,Semi-Auto, C Class,Diesel,22498
2016,14965,2.1,Automatic, C Class,Diesel,20105
2016,45868,2.1,Semi-Auto, C Class,Diesel,14220
2017,27637,2.1,Semi-Auto, C Class,Diesel,22260
2014,32475,2.1,Semi-Auto, C Class,Diesel,16990
2019,151,3,Automatic, C Class,Petrol,41880
2019,151,2,Automatic, C Class,Diesel,30990
2019,7324,1.5,Automatic, C Class,Petrol,28880
2019,2501,2,Automatic, C Class,Diesel,28990
2016,33237,2.1,Semi-Auto, C Class,Diesel,18700
2017,63019,2.1,Semi-Auto, C Class,Diesel,17440
2016,27306,2.1,Semi-Auto, C Class,Diesel,17770
2017,34278,2.1,Semi-Auto, C Class,Diesel,18433
2016,26600,2.1,Semi-Auto, C Class,Diesel,21440
2017,19155,2.1,Semi-Auto, C Class,Diesel,22170
2017,31538,2.1,Semi-Auto, C Class,Diesel,21115
2019,3539,1.6,Semi-Auto, C Class,Diesel,21497
2019,1287,2,Semi-Auto, C Class,Diesel,28400
2016,25178,2.1,Automatic, C Class,Diesel,22765
2018,23061,2.1,Semi-Auto, C Class,Diesel,22880
2019,3761,1.5,Automatic, C Class,Petrol,22455
2017,22684,2.1,Semi-Auto, C Class,Diesel,17330
2017,46294,2.1,Automatic, C Class,Diesel,18795
2016,39656,2.1,Semi-Auto, C Class,Diesel,15220
2017,13096,2.1,Semi-Auto, C Class,Diesel,21440
2017,21462,2.1,Semi-Auto, C Class,Diesel,20200
2018,5232,1.6,Semi-Auto, C Class,Diesel,19660
2017,15527,2.1,Semi-Auto, C Class,Diesel,22990
2018,21200,2.1,Semi-Auto, C Class,Diesel,22770
2018,45335,2.1,Semi-Auto, C Class,Diesel,19775
2017,9873,2.1,Semi-Auto, C Class,Diesel,24660
2017,22574,4,Semi-Auto, C Class,Petrol,33495
2019,1705,1.6,Semi-Auto, C Class,Petrol,26890
2019,2622,1.6,Semi-Auto, C Class,Petrol,26885
2019,5298,2,Semi-Auto, C Class,Diesel,34790
2017,22994,2,Semi-Auto, C Class,Petrol,18495
2016,30301,2.1,Semi-Auto, C Class,Diesel,15699
2017,28480,1.6,Semi-Auto, C Class,Diesel,18499
2018,20087,2,Semi-Auto, C Class,Petrol,24799
2017,11800,2.1,Automatic, C Class,Diesel,18995
2014,25901,2.1,Semi-Auto, C Class,Diesel,15280
2014,20417,2,Automatic, C Class,Petrol,14795
2018,14467,2.1,Automatic, C Class,Diesel,19840
2014,53144,2.1,Semi-Auto, C Class,Diesel,13791
2017,14346,2.1,Semi-Auto, C Class,Diesel,24360
2016,35991,2.1,Semi-Auto, C Class,Diesel,16990
2016,30795,2.1,Semi-Auto, C Class,Diesel,17990
2014,56958,2.1,Semi-Auto, C Class,Diesel,14990
2016,26957,1.6,Semi-Auto, C Class,Diesel,15990
2017,26281,1.6,Semi-Auto, C Class,Diesel,16998
2016,16723,2.1,Semi-Auto, C Class,Diesel,21495
2016,14909,2.1,Semi-Auto, C Class,Diesel,20995
2018,24158,2.1,Semi-Auto, C Class,Diesel,20495
2019,10605,2,Semi-Auto, C Class,Diesel,24736
2017,12648,2.1,Semi-Auto, C Class,Diesel,21595
2017,36135,2.1,Semi-Auto, C Class,Diesel,21295
2016,19488,2.1,Semi-Auto, C Class,Diesel,19995
2017,23033,2.1,Semi-Auto, C Class,Diesel,23495
2016,22178,1.6,Semi-Auto, C Class,Diesel,15490
2017,23400,2.1,Semi-Auto, C Class,Diesel,17000
2017,22214,2,Automatic, C Class,Petrol,16402
2019,10920,2.1,Automatic, C Class,Diesel,20682
2018,8673,2,Semi-Auto, C Class,Diesel,29232
2015,39687,2,Semi-Auto, C Class,Petrol,14698
2014,54230,2.1,Semi-Auto, C Class,Diesel,14288
2018,16974,2.1,Semi-Auto, C Class,Diesel,18265
2014,14354,2,Semi-Auto, C Class,Petrol,15971
2017,35599,2,Automatic, C Class,Petrol,19465
2017,32632,2.1,Semi-Auto, C Class,Diesel,16210
2016,35394,2.1,Semi-Auto, C Class,Diesel,16990
2017,19733,2,Semi-Auto, C Class,Petrol,20990
2016,15511,2,Semi-Auto, C Class,Petrol,17699
2017,41857,2.1,Semi-Auto, C Class,Diesel,18495
2019,4099,1.5,Semi-Auto, C Class,Petrol,28995
2016,50995,1.6,Automatic, C Class,Diesel,14495
2014,45527,2.1,Semi-Auto, C Class,Diesel,13950
2014,74000,2.1,Semi-Auto, C Class,Diesel,12750
2016,45907,2.1,Automatic, C Class,Hybrid,19495
2016,38305,2.1,Semi-Auto, C Class,Diesel,18995
2018,33082,2.1,Semi-Auto, C Class,Diesel,19950
2017,22424,2.1,Semi-Auto, C Class,Diesel,19498
2014,46425,2.1,Semi-Auto, C Class,Diesel,16360
2017,24425,2.1,Automatic, C Class,Diesel,16767
2014,62448,2.1,Semi-Auto, C Class,Diesel,10190
2018,39383,2,Semi-Auto, C Class,Hybrid,19298
2015,32023,2.1,Semi-Auto, C Class,Diesel,15998
2016,25202,1.6,Semi-Auto, C Class,Diesel,15998
2017,28631,2.1,Semi-Auto, C Class,Diesel,24698
2016,29002,2.1,Semi-Auto, C Class,Diesel,14398
2014,66140,2.1,Semi-Auto, C Class,Diesel,15998
2018,33082,2.1,Semi-Auto, C Class,Diesel,19950
2014,39173,2.1,Semi-Auto, C Class,Diesel,11149
2018,27000,2,Semi-Auto, C Class,Petrol,17990
2017,17000,2.1,Semi-Auto, C Class,Diesel,16490
2017,35000,2,Semi-Auto, C Class,Hybrid,18450
2015,39877,2.1,Semi-Auto, C Class,Diesel,11850
2017,14893,1.6,Semi-Auto, C Class,Diesel,16350
2015,81816,2,Semi-Auto, C Class,Petrol,10477
2018,15408,2,Semi-Auto, C Class,Petrol,18998
2016,40998,2.1,Automatic, C Class,Diesel,15870
2016,23539,2.1,Automatic, C Class,Diesel,16700
2017,37293,2,Semi-Auto, C Class,Petrol,19502
2019,7866,2,Automatic, C Class,Diesel,28332
2016,14160,2.1,Semi-Auto, C Class,Diesel,17992
2019,962,4,Automatic, C Class,Petrol,49280
2019,2695,2,Automatic, C Class,Diesel,28810
2019,7311,2,Automatic, C Class,Petrol,30000
2015,9601,2,Semi-Auto, C Class,Petrol,17901
2017,28735,2.1,Semi-Auto, C Class,Diesel,19971
2018,10997,2.1,Semi-Auto, C Class,Diesel,26281
2017,20392,2.1,Semi-Auto, C Class,Diesel,17791
2016,59208,2.1,Automatic, C Class,Hybrid,16998
2014,39442,2.1,Semi-Auto, C Class,Diesel,14498
2016,35721,2.1,Semi-Auto, C Class,Diesel,16998
2015,7976,2,Automatic, C Class,Petrol,16990
2016,29643,2.1,Semi-Auto, C Class,Diesel,19798
2016,21967,2,Semi-Auto, C Class,Petrol,16998
2017,20000,2.1,Semi-Auto, C Class,Diesel,16750
2015,32786,2.1,Semi-Auto, C Class,Diesel,12880
2017,23257,2.1,Semi-Auto, C Class,Diesel,18660
